Open_n_val,High_n_val,Low_n_val,Close_n_val,Volume_n_val,SMA_10_val,SMA_20_val,CMO_14_val,High_n-Low_n_val,Open_n-Close_n_val,SMA_20-SMA_10_val,Close_n_slope_3_val,Close_n_slope_5_val,Close_n_slope_10_val,Open_n_changelen_val,High_n_changelen_val,Low_n_changelen_val,Close_n_changelen_val,High_n-Low_n_changelen_val,Open_n-Close_n_changelen_val,SMA_20-SMA_10_changelen_val,Close_n_slope_3_changelen_val,Close_n_slope_5_changelen_val,Close_n_slope_10_changelen_val,row_num,era,id,target_5_val,target_10_val,target_5,target_10
0.5,0.25,0.0,0.0,0.0,0.0,0.0,0.5,1.0,1.0,0.75,1.0,1.0,1.0,0.5,0.5,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0,884,NFUBXYRL.AF,1.0,0.5,0.0040416409894072,0.0
0.0,0.25,0.0,0.25,1.0,0.0,0.0,0.5,1.0,0.0,0.75,1.0,1.0,1.0,0.5,0.5,0.5,0.75,0.5,0.25,0.5,0.75,0.75,0.75,1,884,NFUBXYRL.AF,0.75,0.25,0.0014434180392897,-0.0028868360785792
0.25,0.75,0.25,0.75,1.0,0.0,0.0,0.5,1.0,0.0,0.75,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.0,0.5,1.0,1.0,1.0,2,884,NFUBXYRL.AF,0.0,0.0,-0.0063510746125723,-0.0095266119188586
0.75,0.75,0.75,0.75,0.75,0.0,0.0,0.5,0.5,1.0,0.75,1.0,1.0,1.0,1.0,0.5,1.0,0.5,0.5,0.5,0.75,0.5,0.5,0.5,3,884,NFUBXYRL.AF,0.0,0.0,-0.0063509865133268,-0.0077944045526165
0.75,0.5,0.5,0.5,0.75,0.0,0.0,0.5,0.25,0.75,0.75,1.0,1.0,1.0,0.5,0.25,0.5,0.25,0.0,0.25,0.75,0.25,0.25,0.25,4,884,NFUBXYRL.AF,0.0,0.0,-0.0034642385339933,-0.006928388968741
0.5,0.5,0.5,0.5,0.75,0.0,0.0,0.5,0.5,0.5,0.75,0.25,1.0,1.0,0.25,0.25,0.25,0.0,0.75,0.0,0.75,0.0,0.0,0.0,5,884,NFUBXYRL.AF,0.0,0.25,-0.0040416409894072,-0.0066397758402794
0.25,0.25,0.25,0.25,0.5,0.0,0.0,0.5,0.5,0.5,0.75,0.25,0.75,1.0,0.0,0.0,0.0,0.0,0.75,0.5,1.0,0.75,0.0,0.0,6,884,NFUBXYRL.AF,0.0,0.0,-0.0043302541178689,-0.006928388968741
0.25,0.25,0.25,0.0,0.75,0.0,0.0,0.5,0.75,1.0,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.75,0.5,1.0,0.5,0.0,0.0,7,884,NFUBXYRL.AF,0.25,0.75,-0.0031755373062862,0.0020208204947036
0.0,0.0,0.25,0.0,0.5,0.0,0.0,0.5,0.25,0.5,0.75,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.25,1.0,0.25,0.75,0.0,8,884,NFUBXYRL.AF,0.25,0.75,-0.0014434180392897,0.002309433623165
0.0,0.0,0.25,0.25,0.25,0.25,0.0,0.5,0.25,0.25,0.0,0.25,0.25,1.0,0.75,0.75,0.5,0.75,0.75,0.0,0.25,1.0,1.0,0.75,9,884,NFUBXYRL.AF,0.25,0.25,-0.0034641504347476,-0.0014434180392894
