Open_n_val,High_n_val,Low_n_val,Close_n_val,Volume_n_val,SMA_10_val,SMA_20_val,CMO_14_val,High_n-Low_n_val,Open_n-Close_n_val,SMA_20-SMA_10_val,Close_n_slope_3_val,Close_n_slope_5_val,Close_n_slope_10_val,Open_n_changelen_val,High_n_changelen_val,Low_n_changelen_val,Close_n_changelen_val,High_n-Low_n_changelen_val,Open_n-Close_n_changelen_val,SMA_20-SMA_10_changelen_val,Close_n_slope_3_changelen_val,Close_n_slope_5_changelen_val,Close_n_slope_10_changelen_val,row_num,era,id,target_5_val,target_10_val,target_5,target_10
1.0,1.0,1.0,1.0,0.0,0.75,0.75,0.75,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.75,0.5,0.5,0.5,0.25,0.5,0.5,0.5,0.5,0,886,ABPVY.AF,0.0,0.0,-0.0104395827967604,-0.0148351201207646
1.0,1.0,1.0,1.0,1.0,0.75,0.75,0.75,1.0,1.0,0.5,1.0,1.0,1.0,0.5,0.75,0.5,0.5,0.5,0.25,0.75,0.5,0.5,0.5,1,886,ABPVY.AF,0.0,0.0,-0.0076923300495077,-0.0139193692050136
1.0,1.0,1.0,1.0,0.75,0.75,0.75,0.75,0.75,0.25,0.5,1.0,1.0,1.0,0.25,0.5,0.25,0.25,0.25,0.0,0.75,0.25,0.25,0.25,2,886,ABPVY.AF,0.0,0.0,-0.0111721164577609,-0.0113553337125114
1.0,0.75,0.75,0.75,1.0,0.75,0.75,0.75,0.75,1.0,0.5,0.0,1.0,1.0,0.0,0.25,0.25,0.0,0.75,0.5,0.75,0.0,0.0,0.0,3,886,ABPVY.AF,0.0,0.0,-0.0056777227492559,-0.0062271509415063
0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.25,0.5,0.0,1.0,1.0,0.0,0.25,0.25,0.75,0.5,0.25,0.75,0.75,0.75,0.75,4,886,ABPVY.AF,0.0,0.0,-0.0062271509415063,-0.0067765791337568
0.75,0.75,0.75,0.75,0.5,0.75,0.75,0.75,0.75,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.25,0.5,0.75,0.5,1.0,0.5,0.5,0.5,5,886,ABPVY.AF,0.0,0.25,-0.0043955373240041,-0.0031135754707531
0.75,0.75,0.75,0.5,0.5,0.75,0.75,0.75,0.75,0.75,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.25,0.5,0.25,1.0,0.75,0.75,0.25,6,886,ABPVY.AF,0.0,0.0,-0.0062270391555059,-0.005128182771005
0.75,0.5,0.5,0.25,0.75,0.75,0.75,0.75,0.75,1.0,0.5,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.75,0.5,1.0,0.5,0.5,0.0,7,886,ABPVY.AF,0.5,0.25,-0.0001832172547504,-0.0029304700020031
0.25,0.5,0.25,0.5,1.0,0.75,0.75,0.75,0.75,0.0,0.5,0.25,0.0,1.0,0.0,0.0,0.0,0.75,1.0,0.25,1.0,0.75,0.75,0.75,8,886,ABPVY.AF,0.5,0.25,-0.0005494281922504,-0.0018315018315018
0.25,0.25,0.5,0.5,0.5,0.75,0.75,0.75,0.25,0.25,0.25,0.25,0.0,1.0,0.75,0.0,0.75,0.5,0.5,0.5,0.0,0.75,0.5,0.5,9,886,ABPVY.AF,0.5,0.0,-0.0005494281922504,-0.0060439336867559
